,orf,hits_count,read_count,hits_count_pro,reads_count_pro,orf_len,NI_index,HFI_normalized,label
308,YBR063C,15,50,0,0,1214,125,0.2594728171334432,
309,YBR064W,5,13,0,0,428,125,0.485981308411215,
310,YBR065C,21,189,4,14,1094,83,0.17550274223034734,
311,YBR066C,20,282,0,0,662,25,0.1797583081570997,
312,YBR067C,4,29,2,32,632,1,0.6313291139240507,
313,YBR068C,59,1190,7,62,1829,4,0.07873154729360306,
314,YBR069C,51,868,6,71,1859,22,0.16460462614308768,
315,YBR070C,2,15,3,42,713,7,0.7363253856942497,
316,YBR071W,23,433,9,1231,635,20,0.1937007874015748,
317,YBR072W,22,533,2,10,644,17,0.18012422360248448,
318,YBR072C-A,8,210,4,21,161,57,0.40993788819875776,
319,YBR073W,25,306,5,150,2876,17,0.2194019471488178,
320,YBR074W,54,603,5,125,2930,8,0.17030716723549488,
321,YBR076W,22,463,0,0,1064,9,0.29135338345864664,
322,YBR076C-A,16,307,17,295,266,9,0.44360902255639095,
323,YBR077C,4,60,0,0,488,9,0.6557377049180327,
324,YBR078W,82,3393,2,404,1619,9,0.1439159975293391,
325,YBR079C,33,184,2,5,2894,93,0.1516931582584658,ess
326,YBR080C,7,51,0,0,2276,34,0.6805799648506151,ess
327,YBR081C,39,252,2,8,3998,20,0.2538769384692346,
328,YBR082C,24,152,8,140,541,3,0.17190388170055454,
329,YBR083W,46,658,5,56,1460,172,0.18698630136986305,
330,YBR084W,54,1294,6,273,2927,35,0.133242227536727,
331,YBR084C-A,3,25,0,0,1075,1,0.5367441860465116,
332,YBR085W,17,162,1,3,923,8,0.4062838569880824,
333,YBR085C-A,10,162,6,16,257,0,0.463035019455253,
334,YBR086C,51,454,3,95,2840,103,0.09507042253521128,
335,YBR087W,5,37,0,0,1064,2,0.7199248120300752,ess
336,YBR088C,3,24,0,0,776,5,0.6237113402061856,ess
337,YBR089W,1,13,2,11,599,5,0.8347245409015025,
338,YBR089C-A,36,758,4,20,683,0,0.17276720351390926,
339,YBR090C,43,954,9,1290,725,0,0.09517241379310344,
340,YBR091C,3,11,2,22,329,0,0.4194528875379939,ess
341,YBR092C,28,344,0,0,1403,0,0.1617961511047755,
342,YBR093C,28,403,3,17,1403,0,0.1518175338560228,
343,YBR094W,50,485,4,14,2261,1,0.14772224679345422,
344,YBR095C,8,79,6,31,1292,17,0.403250773993808,
345,YBR096W,8,97,0,0,692,17,0.5274566473988439,
346,YBR097W,9,41,0,0,4364,13,0.2655820348304308,
347,YBR098W,39,346,14,1115,2075,35,0.14457831325301204,
348,YBR099C,3,63,7,44,383,0,0.3577023498694517,
349,YBR101C,2,10,3,21,872,21,0.8600917431192661,
350,YBR102C,19,89,1,1,2261,43,0.24590888987173815,
351,YBR103W,24,108,2,3,1607,0,0.14187927815805848,
352,YBR103C-A,21,487,9,110,143,0,0.3216783216783217,
353,YBR104W,26,619,1,5,989,11,0.16885743174924167,
354,YBR105C,29,332,2,5,1088,4,0.2297794117647059,
355,YBR106W,5,51,9,80,566,5,0.3127208480565371,
356,YBR107C,9,265,8,85,737,5,0.3948439620081411,
357,YBR108W,37,453,15,2125,2843,130,0.1927541329581428,
358,YBR109C,0,0,0,0,443,130,1.0,ess
