hits_count,reads_count,hits_count_pro,ratio_hits_prom,insertion_index,NI,NI_ratio,HFI,HFI_ratio,orf,label
0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,YAR020C,non_ess
0.12,0.04,0,1.0,0.012987012987012988,0.7908369408369409,0.8633333333333334,0.3896103896103896,0.757142857142857,YAR023C,non_ess
0.12,0.04,0,0.0,0.007072135785007072,0.39992378216356056,0.6062176165803108,1.0,0.31117397454031115,YAR027W,non_ess
0.12,0.04,6,4.0,0.018465909090909092,1.0442328073480924,0.7164390014130947,0.19886363636363635,0.8857142857142858,YAR028W,non_ess
0.12,0.04,1,1.0,0.008928571428571428,0.5017076502732241,1.003415300546448,0.6830357142857143,1.4640522875816993,YAR029W,non_ess
0.12,0.04,2,4.0,0.0029325513196480947,0.16309376323176564,0.3921568627450979,1.0,0.6011730205278593,YAR030C,non_ess
0.12,0.04,1,1.0,0.013392857142857142,0.7930743243243242,1.6072072072072068,0.3314732142857143,0.8282828282828283,YAR031W,non_ess
0.12,0.04,1,0.3333333333333333,0.0014204545454545455,0.07841196051423324,0.5732323232323232,0.9630681818181818,1.0383480825958702,YAR033W,non_ess
0.12,0.04,15,1.6666666666666667,0.025,1.1,1.1136363636363635,0.1677169171110034,0.3872832369942196,YAR035W,non_ess
0.0,0.0,5,0.8333333333333334,0.0,0.0,0.0,1.0,0.45,YAR035C-A,non_ess
0.12,0.04,1,1.0,0.010375771172181716,0.9873689363765128,1.0500591249507292,0.15647784632641615,0.8548387096774194,YAR042W,non_ess
0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,YAR047C,non_ess
0.12,0.04,0,0.0,0.00021677866897897252,0.07665953496262924,0.056521739130434775,0.7012789941469759,0.6377125193199381,YAR050W,non_ess
0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,YAR053W,non_ess
0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,YAR060C,non_ess
0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.3879598662207358,YAR064W,non_ess
0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,YAR066W,non_ess
0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.5814432989690722,YAR068W,non_ess
0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,YAR069C,non_ess
0.12,0.04,0,1.0,0.0033444816053511705,1.1,2.0,1.0,1.0,YAR070C,non_ess
0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.7947255880256593,YAR071W,non_ess
0.12,0.04,0,1.0,0.0016515276630883564,0.5906963941646022,0.2433862433862433,1.0,0.4368290668868704,YAR073W,non_ess
0.12,0.04,0,0.0,0.0063424947145877385,1.1,1.0952380952380951,1.0,1.0,YAR075W,non_ess
0.12,0.04,0,1.0,0.002523128679562658,0.14709840201850294,2.0,0.3448275862068966,1.8536585365853653,YBL113C,non_ess
0.12,0.04,0,1.0,0.002074688796680498,0.12095435684647304,0.7500000000000001,1.0,1.0,YBL113W-A,non_ess
0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,YBL112C,non_ess
0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,YBL111C,non_ess
0.12,0.04,0,1.0,0.025,1.1,1.4782608695652173,0.18208955223880605,2.4098360655737703,YBL109W,non_ess
0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.6484375,YBL108C-A,non_ess
0.12,0.04,0,1.0,0.025,1.1,1.5559440559440558,0.29180327868852457,1.1123595505617978,YBL108W,non_ess
0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,YBL107W-A,non_ess
0.12,0.04,7,0.7,0.02372881355932204,1.1,0.7551515151515152,0.28135593220338984,1.1927710843373494,YBL107C,non_ess
